date,holiday_name,is_major_holiday,holiday_category,impact_level,year,month,day,day_of_week,day_of_week_num
2022-01-01,New Year's Day,1,Winter Holiday,extreme,2022,1,1,Saturday,6
2022-01-17,Martin Luther King Jr. Day,0,Other Holiday,medium,2022,1,17,Monday,1
2022-02-21,Washington's Birthday,0,Other Holiday,medium,2022,2,21,Monday,1
2022-05-30,Memorial Day,1,Summer Holiday,high,2022,5,30,Monday,1
2022-06-19,Juneteenth National Independence Day,0,Other Holiday,medium,2022,6,19,Sunday,7
2022-06-20,Juneteenth National Independence Day (observed),0,Other Holiday,medium,2022,6,20,Monday,1
2022-07-04,Independence Day,1,Summer Holiday,high,2022,7,4,Monday,1
2022-09-05,Labor Day,1,Summer Holiday,high,2022,9,5,Monday,1
2022-10-10,Columbus Day,0,Other Holiday,medium,2022,10,10,Monday,1
2022-11-11,Veterans Day,0,Other Holiday,medium,2022,11,11,Friday,5
2022-11-24,Thanksgiving Day,0,Other Holiday,medium,2022,11,24,Thursday,4
2022-12-25,Christmas Day,1,Winter Holiday,extreme,2022,12,25,Sunday,7
2022-12-26,Christmas Day (observed),0,Other Holiday,medium,2022,12,26,Monday,1
2023-01-01,New Year's Day,1,Winter Holiday,extreme,2023,1,1,Sunday,7
2023-01-02,New Year's Day (observed),0,Other Holiday,medium,2023,1,2,Monday,1
2023-01-16,Martin Luther King Jr. Day,0,Other Holiday,medium,2023,1,16,Monday,1
2023-02-20,Washington's Birthday,0,Other Holiday,medium,2023,2,20,Monday,1
2023-05-29,Memorial Day,1,Summer Holiday,high,2023,5,29,Monday,1
2023-06-19,Juneteenth National Independence Day,0,Other Holiday,medium,2023,6,19,Monday,1
2023-07-04,Independence Day,1,Summer Holiday,high,2023,7,4,Tuesday,2
2023-09-04,Labor Day,1,Summer Holiday,high,2023,9,4,Monday,1
2023-10-09,Columbus Day,0,Other Holiday,medium,2023,10,9,Monday,1
2023-11-10,Veterans Day (observed),0,Other Holiday,medium,2023,11,10,Friday,5
2023-11-11,Veterans Day,0,Other Holiday,medium,2023,11,11,Saturday,6
2023-11-23,Thanksgiving Day,0,Other Holiday,medium,2023,11,23,Thursday,4
2023-12-25,Christmas Day,1,Winter Holiday,extreme,2023,12,25,Monday,1
2024-01-01,New Year's Day,1,Winter Holiday,extreme,2024,1,1,Monday,1
2024-01-15,Martin Luther King Jr. Day,0,Other Holiday,medium,2024,1,15,Monday,1
2024-02-19,Washington's Birthday,0,Other Holiday,medium,2024,2,19,Monday,1
2024-05-27,Memorial Day,1,Summer Holiday,high,2024,5,27,Monday,1
2024-06-19,Juneteenth National Independence Day,0,Other Holiday,medium,2024,6,19,Wednesday,3
2024-07-04,Independence Day,1,Summer Holiday,high,2024,7,4,Thursday,4
2024-09-02,Labor Day,1,Summer Holiday,high,2024,9,2,Monday,1
2024-10-14,Columbus Day,0,Other Holiday,medium,2024,10,14,Monday,1
2024-11-11,Veterans Day,0,Other Holiday,medium,2024,11,11,Monday,1
2024-11-28,Thanksgiving Day,0,Other Holiday,medium,2024,11,28,Thursday,4
2024-12-25,Christmas Day,1,Winter Holiday,extreme,2024,12,25,Wednesday,3
